rank,Ticker,start_date,end_date,start_price,end_price,six_month_momentum,six_month_momentum_percent,trading_days
1,SNDK,2025-12-01,2026-05-29,210.1699981689453,1694.97998046875,7.064804659256071,706.4804659256071,124
2,MU,2025-12-01,2026-05-29,240.261962890625,971.0,3.041422072465256,304.1422072465256,124
3,STX,2025-12-01,2026-05-29,268.92413330078125,879.7999877929688,2.271554609079827,227.1554609079827,124
4,WDC,2025-12-01,2026-05-29,163.33042907714844,531.2100219726562,2.2523640877826963,225.23640877826963,124
5,INTC,2025-12-01,2026-05-29,40.0099983215332,114.68000030517578,1.8662835570141856,186.62835570141857,124
6,LITE,2025-12-01,2026-05-29,317.92999267578125,854.9600219726562,1.6891455404288567,168.91455404288567,124
7,ARM,2025-12-01,2026-05-29,135.00999450683594,353.2900085449219,1.6167692979724833,161.67692979724833,124
8,AMD,2025-12-01,2026-05-29,219.75999450683594,516.0999755859375,1.3484710069460961,134.84710069460962,124
9,MRVL,2025-12-01,2026-05-29,90.98895263671875,205.0,1.2530207685594559,125.30207685594559,124
10,LRCX,2025-12-01,2026-05-29,154.35064697265625,318.17999267578125,1.0614101652074575,106.14101652074575,124
11,TXN,2025-12-01,2026-05-29,166.2248992919922,305.67999267578125,0.8389542961239578,83.89542961239577,124
12,MCHP,2025-12-01,2026-05-29,52.85197448730469,94.6500015258789,0.790850813882352,79.0850813882352,124
13,AMAT,2025-12-01,2026-05-29,254.1167755126953,450.05999755859375,0.7710755090866066,77.10755090866066,124
14,MPWR,2025-12-01,2026-05-29,924.9332275390625,1566.2099609375,0.6933221926783408,69.33221926783408,124
15,FTNT,2025-12-01,2026-05-29,81.81999969482422,137.97000122070312,0.6862625487082574,68.62625487082575,124
16,KLAC,2025-12-01,2026-05-29,1154.2052001953125,1921.7099609375,0.6649638735056052,66.49638735056051,124
17,NXPI,2025-12-01,2026-05-29,197.57762145996094,321.3500061035156,0.6264494112691661,62.644941126916606,124
18,ODFL,2025-12-01,2026-05-29,139.19912719726562,225.14999389648438,0.6174669944403728,61.746699444037276,124
19,CSCO,2025-12-01,2026-05-29,75.2276382446289,120.41999816894531,0.6007414426245536,60.07414426245536,124
20,DDOG,2025-12-01,2026-05-29,157.89999389648438,247.35000610351562,0.5664978826134257,56.64978826134257,124
21,ADI,2025-12-01,2026-05-29,264.7430725097656,413.8500061035156,0.5632137308833638,56.32137308833638,124
22,QCOM,2025-12-01,2026-05-29,166.11917114257812,251.02000427246094,0.5110838956511132,51.108389565111324,124
23,PANW,2025-12-01,2026-05-29,187.72999572753906,281.69000244140625,0.5005060930712188,50.05060930712189,124
24,ASML,2025-12-01,2026-05-29,1084.188720703125,1612.760009765625,0.48752701348867333,48.75270134886733,124
25,CRWD,2025-12-01,2026-05-29,504.1300048828125,731.0,0.4500227975320068,45.00227975320068,124
26,ROST,2025-12-01,2026-05-29,176.72100830078125,231.72999572753906,0.3112758803024249,31.127588030242492,124
27,CSX,2025-12-01,2026-05-29,34.62944793701172,45.2599983215332,0.30698007094590807,30.698007094590807,124
28,BKR,2025-12-01,2026-05-29,49.8049430847168,63.880001068115234,0.28260363553587764,28.260363553587766,124
29,HON,2025-12-01,2026-05-29,188.2457275390625,237.86000061035156,0.26356121713834746,26.356121713834746,124
30,MAR,2025-12-01,2026-05-29,302.25823974609375,375.6000061035156,0.2426460447167007,24.26460447167007,124
31,FANG,2025-12-01,2026-05-29,154.3830108642578,191.47999572753906,0.24029188610590713,24.02918861059071,124
32,LIN,2025-12-01,2026-05-29,404.2880859375,497.69000244140625,0.23102812017652563,23.102812017652564,124
33,CDNS,2025-12-01,2026-05-29,309.6199951171875,374.92999267578125,0.21093598148877524,21.093598148877525,124
34,GOOGL,2025-12-01,2026-05-29,314.46282958984375,380.3399963378906,0.2094911084848119,20.94911084848119,124
35,GOOG,2025-12-01,2026-05-29,314.6928405761719,376.42999267578125,0.19618225818730006,19.618225818730007,124
36,SBUX,2025-12-01,2026-05-29,83.87432861328125,99.16000366210938,0.1822449765208336,18.22449765208336,124
37,NVDA,2025-12-01,2026-05-29,179.90025329589844,211.13999938964844,0.1736503730340342,17.36503730340342,124
38,AVGO,2025-12-01,2026-05-29,384.5360107421875,446.7699890136719,0.16184174312145028,16.18417431214503,124
39,DXCM,2025-12-01,2026-05-29,63.52000045776367,73.73999786376953,0.1608941645521782,16.08941645521782,124
40,MNST,2025-12-01,2026-05-29,75.94999694824219,88.08000183105469,0.15971040645437773,15.971040645437773,124
41,AMZN,2025-12-01,2026-05-29,233.8800048828125,270.6400146484375,0.15717465793642305,15.717465793642305,124
42,WBD,2025-12-01,2026-05-29,23.8700008392334,27.010000228881836,0.13154584328658459,13.154584328658459,124
43,ABNB,2025-12-01,2026-05-29,118.80000305175781,133.30999755859375,0.12213799776178735,12.213799776178735,124
44,FAST,2025-12-01,2026-05-29,39.71745300292969,44.20000076293945,0.11286090675751836,11.286090675751836,124
45,AAPL,2025-12-01,2026-05-29,282.57501220703125,312.05999755859375,0.10434392312778185,10.434392312778185,124
